Suite,ID,Scenario,Steps,Expected Result
Onboarding & Compliance,1.1,Fresh Install Flow,Install and open app.,OnboardingActivity launches; Terms page first.
Onboarding & Compliance,1.2,Terms Shaker,Tap "Get Started" without checkbox.,Terms container shakes; toast appears.
Onboarding & Compliance,1.3,Privacy Policy Link,Tap "Privacy Policy" link.,WebViewerActivity loads correct URL.
Onboarding & Compliance,1.4,Terms of Service Link,Tap "Terms" link.,WebViewerActivity loads correct content.
Onboarding & Compliance,1.5,Onboarding Swiping,Swipe between all 4 pages.,Dots update; animations (Twinkle/Float) trigger.
Onboarding & Compliance,1.6,Onboarding Finish,Tap "Let's Go" on page 4.,App transitions to MainActivity; flag saved.
Onboarding & Compliance,1.7,GDPR EEA Check,Debug EEA mode + Fresh Install.,Google UMP Consent form appears BEFORE ads.
Onboarding & Compliance,1.8,Repeat Launch,Close app after onboarding; Re-open.,Directly enters "Today's Medications."
Medication Management,2.1,Create 1x/Day,Add "Med A" 1x Day at 08:00.,Med appears in list; 1 dose in Today.
Medication Management,2.2,Create Multi-Dose,"Add "Med B" 3x Day (08:00, 14:00, 20:00).",3 distinct doses appear in Today view.
Medication Management,2.3,Mandatory: Name,Leave Name empty; Save.,Name field shakes; Error: "Required".
Medication Management,2.4,Mandatory: Amount,Amount = 0; Save.,Amount field shakes; Error: "Required".
Medication Management,2.5,Mandatory: Form,Form (Type) not selected; Save.,Form layout shakes; Error: "Required".
Medication Management,2.6,Edit: Change Name,Update "Med A" to "Med C".,All active notifications/history update name.
Medication Management,2.7,Edit: Increase Freq,Change 1x to 4x.,3 new time pickers appear; alarms scheduled.
Medication Management,2.8,Edit: Decrease Freq,Change 3x to 1x.,Extra alarms cancelled; History preserved.
Medication Management,2.9,Delete Medication,Delete med from List.,Med removed; All pending system alarms cancelled.
Medication Management,2.10,Special Characters,Name med "💊 Health!".,UI renders correctly; emoji handled.
Medication Management,2.11,Rapid Save Spam,Double-tap Save button.,Only one medication created (Button disabled).
Medication Management,2.12,Time Picker UI,Open Time Picker; Cancel.,Time remains unchanged; Picker dismisses.
Reminder Engine,3.1,Precise Alarm,Set alarm for +1 min; lock screen.,Notification fires at exact second scheduled.
Reminder Engine,3.2,Action: Take,Tap "Take" on notification.,Notif dismissed; Status: TAKEN in History.
Reminder Engine,3.3,Action: Skip,Tap "Skip" on notification.,Notif dismissed; Status: SKIPPED in History.
Reminder Engine,3.4,Action: Snooze,Tap "Snooze" on notification.,Notif dismissed; New alarm set for +10m.
Reminder Engine,3.5,Snooze Counter,Snooze 3 times (Default limit).,4th snooze attempt auto-skips (Limit logic).
Reminder Engine,3.6,Simultaneous Doses,2 different meds at 08:00.,Android groups notifications; both trigger.
Reminder Engine,3.7,Early Take,Take a dose 30m before alarm.,System alarm for that dose is CANCELLED.
Reminder Engine,3.8,Quiet Hours: Active,Alarm at 01:00; QH: 23:00-07:00.,Notif appears; NO SOUND VIBE or FLASH.
Reminder Engine,3.9,Quiet Hours: Edge,Alarm at 23:00 (Start time).,Quiet hours active; notification is silent.
Reminder Engine,3.10,Bypass Volume,Mute phone; Bypass ON (Pass).,Alarm sound plays at override volume.
Reminder Engine,3.11,Notification Icons,Add "Drops" form.,Notification shows "Drops" icon (Large icon).
Reminder Engine,3.12,Sticky Notif,Enable Sticky Notifications.,Reminder cannot be swiped away; must use Take/Skip.
Battery & Power,4.1,Restricted Battery,Battery -> Restricted; schedule alarm.,OS may delay alarm. App should verify reliability.
Battery & Power,4.2,Optimized Mode,Battery -> Optimized; wait for Doze.,setExactAndAllowWhileIdle fires correctly.
Battery & Power,4.3,Deep Doze Test,Screen OFF 4 hours; no charger.,App "wakes" system to deliver high-priority notif.
Battery & Power,4.4,Power Saver State,Device Battery 3%; Power Saver ON.,Alarm triggers despite system throttling.
Battery & Power,4.5,Unrestricted,Battery -> Unrestricted.,Alarms fire with 0ms deviation.
Battery & Power,4.6,Background Kill,OS kills app for memory.,AlarmManager keeps Intents; alarm still fires.
Battery & Power,4.7,Standby Bucket,App in "Rare" standby bucket.,Alarms still fire per RTC_WAKEUP rules.
History & Statistics,5.1,History Navigation,Today -> Drawer -> History.,History Fragment loads; FAB disappears.
History & Statistics,5.2,Date Change,Change Date in Calendar.,List refreshes with past records for that date.
History & Statistics,5.3,Untake Action,Swipe "Untake" on TAKEN dose.,Status -> SCHEDULED; System alarm RE-SCHEDULED.
History & Statistics,5.4,Unskip Action,Swipe "Unskip" on SKIPPED dose.,Status -> SCHEDULED; System alarm RE-SCHEDULED.
History & Statistics,5.5,Streak 0 -> 1,Take all doses for 1 day.,Streak counter increments to 1.
History & Statistics,5.6,Streak Break,Skip a dose.,Streak counter resets to 0 immediately.
